run,n_puntos,step_final,score_last10,score_max
distill_text_from_wm_only/01,398,199000,-1001.0,-1001.0
goal_dreamer_with_text/01,9,9000,-952.3333333333334,-691.0
goal_dreamer_with_text/03,499,499000,-357.1,-7.0
goal_dreamer_with_text/04,499,499000,-416.8,-9.0
original_wm_crafter/02,5174,1009941,10.90000114440918,14.100005149841309
post_train_from_distill/01,998,499000,-1001.0,-1001.0
post_train_from_wm_only/04_imag_prob/01,499,499000,331.012754120514,727.512451171875
post_train_from_wm_only/her_buffer_goals,499,499000,-426.1,-240.0
post_train_from_wm_only/herbuf_textgoal/01,499,499000,-1001.0,-1001.0
post_train_from_wm_only/normal_buffer_goals,499,499000,-496.7,-245.0
post_train_from_wm_only/normalbuf_randomgoal/01,499,499000,-1001.0,-1001.0
post_train_from_wm_only/old_herbuf_buffergoal/01,499,499000,-496.4,-238.0
post_train_from_wm_only/old_normalbuf_buffergoal/01,499,499000,-1001.0,-1001.0
random_goal/posttrain_frozenwm_herbuf_goalbuf/01,499,499000,-1001.0,-637.0
random_goal/posttrain_frozenwm_normalbuf_goalbuf/01,499,499000,-1001.0,-942.0
random_goal/posttrain_frozenwm_normalbuf_goalimag/01,499,499000,-1001.0,-1000.0
random_goal/posttrain_frozenwm_normalbuf_goalimag_prob/01,499,499000,0.00432700036844326,72.93251037597656
random_goal/wm_only_randomgoal/01,499,499000,-1001.0,-1001.0
random_goal_herbuf_goalbuf,1012,999000,-1001.0,-968.0
text_goal_sample_8x8_goal_her_buffer/01,499,499000,-998.2,-121.0
text_goal_sample_8x8_goal_her_buffer/01/01,998,499000,-998.2,-121.0
text_goal_sample_8x8_normal_buffer/01,499,499000,-999.8,-811.0
text_goal_sample_her_buffer/01,499,499000,-1001.0,-1001.0
text_goal_sample_normal_buffer/01,499,499000,-1001.0,-1001.0
wm_only_random_mission/01,499,499000,-1001.0,-1001.0
z_without_history_wm_crafter/01,5337,1009911,8.70000102519989,12.10000228881836
